,"Arabic"
"TEXT TO TRANSLATE",
"Accept","قبول"
"Accepted","قبلت"
"Account Status","حالة الحساب"
"Action|Actions","الإجراء | الإجراءات"
"Add","إضافة"
"Add Classroom","إضافة فصل دراسي"
"Add Student","إضافة طالب"
"Add More","إضافة المزيد"
"Add Help","إضافة تعليمات"
"Add Tips","إضافة نصائح"
"Add Payment","إضافة الدفع"
"Address Information"," معلومات العنوان"
"Admin","المشرف"
"Client Management","إدارة العميل"
"An email to reset your picture password has been sent to your email account.","لقد تم إرسال بريد الكتروني لإعادة ضبط كلمة مرور الصورة إلى حسابك الخاص.، "
"A new email to reset your picture password has been sent to your email account.","لقد تم إرسال بريد الكتروني جديد لإعادة ضبط كلمة مرور الصورة إلى حسابك الخاص.، "
"Answer List","قائمة الإجابة"
"Age","العمر"
"All","الكل"
"All Rights Reserved.","الحقوق محفوظة."
"and","و"
"Announcement","إعلان"
"Answer","إجابة"
"Answered by","أجيب عليها من قبل"
"Approve","الموافقة"
"Are you sure you want to remove this student?","هل أنت متأكد أنك تريد إزالة هذا الطالب"
"Are you sure you want to remove this invoice?","هل أنت متأكد أنك تريد إزالة هذه الفاتورة"
"Are you sure you want to buy this accessory?","هل أنت متأكد أنك تريد شراء هذا الملحق"
"Area","المنطقة"
"Avatar Accessories","ملحقات الصورة الرمزية، "
"Back","الى الخلف"
"> Back to Dashboard","<عودة إلى لوحة التحكم"
"Badge","الشارة"
"Bank Account Number","رقم الحساب المصرفي"
"Bank Address","عنوان البنك"
"Bank Code","كود البنك"
"Bank Name","اسم البنك"
"Begin","البدء"
"Bill to","فاتورة الى"
"BILLING INVOICE","الفاتورة"
"Birthday","تاريخ الميلاد"
"BUY","شراء"
"Buy Accessory","شراء الملحق"
"By","بواسطة"
"Cancel","إلغاء"
"CANCEL","إلغاء"
"Cancel Subscription","إلغاء الاشتراك"
"Cancelled","تم الالغاء"
"Cash Points","النقاط النقدية"
"Change","تغيير"
"Change Password","تغيير كلمة المرور"
"Change Rating","تغيير التصويت"
"Change Avatar","تغيير الصورة الرمزية"
"Change Student Email","تغيير بريد الطالب"
"Choose Image...","اختر صورة ..."
"City","المدينة"
"Class","الصف"
"Class Dashboard","لوحة تحكم الصف"
"Class Handled","تمت معالجة الصف"
"Class Level","مستوى الصف"
"Class List","قائمة الصف"
"Class Management","إدارة الصف"
"Class Name","اسم الصف"
"Class Progress Report","تقرير انجاز الصف"
"Clear","مسح"
"Click","انقر"
"Click here to Login","انقر هنا لتسجيل الدخول"
"Click on Confirm Email Address","انقر على تأكيد البريد الإلكتروني"
"Client","العميل"
"client site","موقع العميل"
"Close","إغلاق"
"Close This Request","إغلاق هذا الطلب"
"Close Request","إغلاق الطلب"
"Code","الرمز، "
"Completed","مكتمل"
"Confirm","تأكيد"
"Confirmation Code","رمز التأكيد، "
"Confirm Email Address","تأكيد البريد الالكتروني"
"To confirm your new Email Address, follow these steps:","لتأكيد عنوان البريد الإلكتروني الجديد الخاص بك، اتبع الخطوات التالية :"
"Confirm Your Email Address","تأكيد عنوان البريد الإلكتروني الخاص بك"
"Confirm Invitation","تأكيد الدعوة"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Confirm Password","تأكيد كلمة المرور"
"Confirm Registration","تأكيد التسجيل"
"Contact Person","جهة الاتصال"
"Contact Number","رقم الاتصال"
"Content","المحتوى"
"Content Not Available","المحتوى غير متوفر"
"Country","الدولة"
"Correct!","!، صحيح"
"Created By","تم إنشاؤه من قبل"
"Credentials Information","معلومات الحساب، "
"Current","الحالي"
"Current Email Address","عنوان البريد الإلكتروني الحالي"
"Current Learning","التعليم الحالي"
"Current Password","كلمة المرور الحالية"
"Data Privacy Policy","سياسة خصوصية البيانات"
"Date","التاريخ، "
"Date Added","تم إضافة التاريخ"
"Date Created","تاريخ الإنشاء"
"Date End","تاريخ الانتهاء"
"Date of Last Answer","تاريخ الإجابة الأخيرة"
"Date Removed","تاريخ الإزالة"
"Date Start","تاريخ البدء"
"Date Started","تاريخ البدء"
"Delete","حذف"
"Delete Subscription","حذف الاشتراك"
"Delete Student","حذف الطلاب"
"Delete This Request","حذف هذا الطلب"
"Delete Request","حذف الطلب"
"Description","الوصف"
"Detail","التفاصيل"
"Difficulty","الصعوبة"
"Direct Credit to","الائتمان المباشر لـ"
"Disabled","معطل"
"Discount","خصم"
"Displayed At","عرض في"
"Download Template","تحميل القالب"
"Drag the items to reorder.","اسحب العناصر لإعادة الترتيب."
"Edit","تحرير"
"Edit Client Account Profile","تحرير حساب العميل الشخصي"
"Edit Profile","تحرير الملف الشخصي"
"Edit Status","تحرير الحالة"
"Edit Student","تحرير الطالب"
"Electronic Invoice","الفاتورة الالكترونية"
"Email","البريد الإلكتروني"
"Email Address","عنوان البريد الإلكتروني"
"Email address is available.","عنوان البريد الإلكتروني غير متوفر."
"Email or Username","البريد الإلكتروني أو اسم المستخدم"
"Enter Confirmation Code:","أدخل رمز التأكيد:"
"Enabled","ممكن"
"Enter Password","أدخل كلمة المرور"
"Enter your Password","ادخل كلمة المرور"
"Enter Your Username or Email","أدخل اسم المستخدم أو البريد الإلكتروني الخاص بك"
"Existing Student","طالب حالي"
"Exit Module","الخروج من الوحدة"
"Export","تصدير"
"Excelling","التفوق"
"Failed Payment","فشلت عملية الدفع"
"You have failed to complete the payment process.","فشلت عملية الدفع."
"Female","أنثى"
"First Name","الاسم الاول"
"for Student Site","لموقع الطلاب"
"For Students 13 years old and below","للطلاب من العمر 13 عاما وأقل، "
"for Parent / Teacher / School Site","للوالدين / المعلم / موقع المدرسة"
