"DO NOT EDIT","Bahasa Indonesia","Bahasa Indonesia"
"TEXT TO TRANSLATE","AGUS","MACHINE"
"Accept","Terima","Menerima"
"Accepted","Diterima","diterima "
"Account Status","Status Akun","status akun"
"Action|Actions","Tindakan","Tindakan"
"Add","Tambah","Menambahkan"
"Add Classroom","Tambah Kelas","Tambahkan Kelas"
"Add Student","Tambah Murid","Tambahkan Mahasiswa"
"Add More","Tambah Lagi","Tambah Lagi"
"Add Help","Tambah Bantuan","Tambahkan Bantuan"
"Add Tips","Tambah Petunjuk","Tambahkan Tips"
"Add Payment","Tambah Pembayaran","Tambahkan Pembayaran"
"Address Information","Alamat","Informasi alamat"
"Admin","Admin","admin"
"Client Management","Manajemen Klien","Manajemen klien"
"An email to reset your picture password has been sent to your email account.","Email untuk mengubah gambar sandi Anda telah dikirim ke akun email Anda.","Email untuk mereset password gambar Anda telah dikirim ke akun email Anda."
"A new email to reset your picture password has been sent to your email account.","Sebuah email baru untuk mengubah gambar sandi Anda telah dikirim ke akun email Anda.","Sebuah email baru untuk mereset password gambar Anda telah dikirim ke akun email Anda."
"Answer List","Daftar Jawaban","Jawaban Daftar"
"Age","Usia","Usia"
"All","Semua","Semua"
"All Rights Reserved.","Seluruh hak cipta","Seluruh hak cipta"
"and","dan","dan"
"Announcement","Pengumuman","Pengumuman"
"Answer","Jawaban","Menjawab"
"Answered by","Dijawab oleh","dijawab oleh"
"Approve","Menyetujui","Menyetujui"
"Are you sure you want to remove this student?","Apakah Anda yakin ingin menghapus murid ini?.","Apakah Anda yakin ingin menghapus mahasiswa ini?"
"Are you sure you want to remove this invoice?","Apakah Anda yakin ingin menghapus faktur ini?","Apakah Anda yakin ingin menghapus faktur ini?"
"Are you sure you want to buy this accessory?","Apakah Anda yakin Anda ingin membeli aksesori ini ?","Apakah Anda yakin Anda ingin membeli aksesori ini ?"
"Area","Bidang","Daerah"
"Avatar Accessories","Aksesori Avatar","Avatar Aksesoris"
"Back","Kembali","Kembali"
"> Back to Dashboard","Kembali ke Dasbor"," Kembali ke Dashboard"
"Badge","Lencana","Lencana"
"Bank Account Number","Nomor Rekening Bank","Nomor rekening bank"
"Bank Address","Alamat bank","Alamat bank"
"Bank Code","Kode Bank","Kode Bank"
"Bank Name","Nama Bank","Nama Bank"
"Begin","Mulai","Mulai"
"Bill to","Ditagih kepada","Pembayaran kepada"
"BILLING INVOICE","FAKTUR PENAGIHAN","PENAGIHAN FAKTUR"
"Birthday","Ulang tahun","Ulang tahun"
"BUY","BELI","MEMBELI"
"Buy Accessory","Beli Aksesori","Beli Aksesori"
"By","Oleh","Oleh"
"Cancel","Batal","Membatalkan"
"CANCEL","BATAL","MEMBATALKAN"
"Cancel Subscription","Batalkan Subskripsi","Batalkan Langganan"
"Cancelled","Dibatalkan","Dibatalkan"
"Cash Points","Poin Tunai","Tempat kas"
"Change","Ganti","Perubahan"
"Change Password","Ganti kata sandi","Ganti kata sandi"
"Change Rating","Ganti Penilaian","perubahan Nilai"
"Change Avatar","Ganti Avatar","Ganti Avatar"
"Change Student Email","Ganti Email murid","Perubahan Student Email"
"Choose Image...","Pilih Gambar","Pilih Gambar"
"City","Kota","Kota"
"Class","Kelas","Kelas"
"Class Dashboard","Dasbor Kelas","kelas Dashboard"
"Class Handled","Kelas Ditangani","kelas Ditangani"
