"DO NOT EDIT","Mynmmar"
"TEXT TO TRANSLATE",
"Accept","လက်ခံပါ"
"Accepted","လက်ခံသည်"
"Account Status","အကောင့်အခြေအနေ"
"Action|Actions","လှုပ်ရှားမှု|လှုပ်ရှားမှုများ"
"Add","ပေါင်းထည့်ပါ"
"Add Classroom","စာသင်ခန်း ပေါင်းထည့်ပါ"
"Add Student","ကျောင်းသား ပေါင်းထည့်ပါ"
"Add More","နောက်ထပ် ပေါင်းထည့်ပါ"
"Add Help","အကူအညီ ပေါင်းထည့်ပါ"
"Add Tips","သိကောင်းစရာများ ပေါင်းထည့်ပါ"
"Add Payment","ငွေပေးချေမှု ပေါင်းထည့်ပါ"
"Address Information","လိပ်စာ အချက်အလက်"
"Admin","ကြီးကြပ်သူ"
"Client Management","ဖောက်သည် စီမံခန့်ခွဲမှု"
"An email to reset your picture password has been sent to your email account.","သင့်ရုပ်ပုံ စကားဝှက်ကို ပြန်သတ်မှတ်ရန် အီးမေးလ်ကို သင့်အီးမေးလ်အကောင့်သို့ ပို့ထားသည်"
"A new email to reset your picture password has been sent to your email account.","သင့်ရုပ်ပုံ စကားဝှက်ကို ပြန်သတ်မှတ်ရန် အီးမေးလ်အသစ်ကို သင့်အီးမေးလ်အကောင့်သို့ ပို့ထားသည်"
"Answer List","အဖြေ စာရင်း"
"Age","အသက်"
"All","အားလုံး"
"All Rights Reserved.","မူပိုင်ခွင့်အားလုံး ပိုင်ဆိုင်သည်"
"and","နှင့်"
"Announcement","ကြေငြာချက်"
"Answer","အဖြေ"
"Answered by","ဖြေဆိုသူ"
"Approve","အတည်ပြုရန်"
"Are you sure you want to remove this student?","ဤကျောင်းသားကို ဖယ်ရှားချင်သည်မှာ သေချာသလား"
"Are you sure you want to remove this invoice?","ဤငွေတောင်းခံလွှာကို ဖယ်ရှားချင်သည်မှာ သေချာသလား"
"Are you sure you want to buy this accessory?","ဤအသုံးအဆောင်ကို ဝယ်ချင်သည်မှာ သေချာသလား"
"Area","နယ်ပယ်"
"Avatar Accessories","ဇာတ်ကောင် အသုံးအဆောင်များ"
"Back","နောက်သို့"
"> Back to Dashboard","မူလနေရာသို့ပြန်သွားရန်"
"Badge","တံဆိပ်"
"Bank Account Number","ဘဏ်အကောင့် နံပါတ်"
"Bank Address","ဘဏ်လိပ်စာ"
"Bank Code","ဘဏ်ကုဒ်နံပါတ်"
"Bank Name","ဘဏ်အမည်"
"Begin","စတင်ရန်"
"Bill to","ငွေတောင်းခံလွှာ လက်ခံသူ"
"BILLING INVOICE","ငွေတောင်းခံလွှာ"
"Birthday","မွေးနေ့"
"BUY","ဝယ်ရန်"
"Buy Accessory","အသုံးအဆောင် ဝယ်ရန်"
"By","အားဖြင့်"
"Cancel","ပယ်ဖျက်ရန်"
"CANCEL","ပယ်ဖျက်ရန်"
"Cancel Subscription","စာရင်းသွင်းမှု ပယ်ဖျက်ရန်"
"Cancelled","ပယ်ဖျက်ပြီးပြီ"
"Cash Points","ငွေသား ရမှတ်"
"Change","ပြောင်းရန်"
"Change Password","စကားဝှက် ပြောင်းရန်"
"Change Rating","အဆင့်သတ်မှတ်ချက် ပြောင်းလဲရန်"
"Change Avatar","ဇာတ်ကောင် ပြောင်းလဲရန်"
"Change Student Email","ကျောင်းသား အီးမေးလ် ပြောင်းလဲရန်"
"Choose Image...","ရုပ်ပုံ ရွေးချယ်ရန်"
"City","မြို့"
"Class","အတန်း"
"Class Dashboard","အတန်းမူလနေရာ"
"Class Handled","ကိုင်တွယ်သော အတန်း"
"Class Level","အတန်း၏ အဆင့်"
"Class List","အတန်း စာရင်း"
"Class Management","အတန်း စီမံခန့်ခွဲမှု"
"Class Name","အတန်း အမည်"
"Class Progress Report","အတန်း တိုးတက်မှု မှတ်တမ်း"
"Clear","ရှင်းလင်းရန်"
"Click","ကလစ်နှိပ်ပါ"
"Click here to Login","အကောင့်ဝင်ရန် ဒီမှာကိုနှိပ်ပါ"
"Click on Confirm Email Address","အီးမေးလ်လိပ်စာ အတည်ပြုရန် ဒီမှာနှိပ်ပါ"
"Client","ဖောက်သည်"
"client site","ဖောက်သည် ဆိုက်"
"Close","ပိတ်ပါ"
"Close This Request","ဤတောင်းဆိုမှုကို ပိတ်ပါ"
"Close Request","တောင်းဆိုမှုကို ပိတ်ပါ"
"Code","ကုဒ်"
"Completed","ပြီးပြီ"
"Confirm","အတည်ပြုရန်"
"Confirmation Code","အတည်ပြုသည့်ကုဒ်"
"Confirm Email Address","အီးမေးလ်လိပ်စာကို အတည်ပြုပါ"
"To confirm your new Email Address, follow these steps:","သင့်အီးမေးလ်လိပ်စာ အသစ်ကို အတည်ပြုရန် အောက်ပါအတိုင်း ဆောင်ရွက်ပါ"
"Confirm Your Email Address","သင့်အီးမေးလ်လိပ်စာကို အတည်ပြုပါ"
"Confirm Invitation","ဖိတ်ကြားလွှာကို အတည်ပြုပါ"
"Confirm New Password","စကားဝှက် အသစ်ကို အတည်ပြုပါ"
"Confirm Password","စကားဝှက်ကို အတည်ပြုပါ"
"Confirm Registration","မှတ်ပုံတင်ခြင်းကို အတည်ပြုပါ"
"Contact Person","ဆက်သွယ်ရန်ပုဂ္ဂိုလ်"
"Contact Number","ဆက်သွယ်ရန်ဖုန်းနံပါတ်"
"Content","အကြောင်းအရာ"
"Content Not Available","အကြောင်းအရာ မရှိပါ"
"Country","နိုင်ငံ"
"Correct!","ပြင်ဆင်ပါ"
"Created By","ဖန်တီးသူ"
