"DO NOT EDIT","Bahasa Malaysia"
"TEXT TO TRANSLATE",
"Accept","Terima"
"Accepted","Diterima"
"Account Status","Status Modul"
"Action|Actions","Tindakan | Tindakan"
"Add","Tambah"
"Add Classroom","Tambah Bilik Darjah"
"Add Student","Tambah Pelajar"
"Add More","Tambah Lebih Banyak"
"Add Help","Tambah Bantuan"
"Add Tips","Tambah Tips"
"Add Payment","Tambah Pembayaran"
"Address Information","Maklumat Alamat"
"Admin","Pentadbir"
"Client Management","Pengurusan Pelanggan"
"An email to reset your picture password has been sent to your email account.","E-mel untuk menetapkan semula kata laluan gambar anda telah dihantar ke akaun e-mel anda"
"A new email to reset your picture password has been sent to your email account.","E-mel baru untuk menetapkan semula kata laluan gambar anda telah dihantar ke akaun e-mel anda"
"Answer List","Senarai Jawapan"
"Age","Umur"
"All","Semua"
"All Rights Reserved.","Hak Cipta Terpelihara"
"and","Dan"
"Announcement","Pengumuman"
"Answer","Jawapan"
"Answered by","Dijawab oleh"
"Approve","Lulus"
"Are you sure you want to remove this student?","Adakah anda pasti bahawa anda mahu mengeluarkan pelajar ini?"
"Are you sure you want to remove this invoice?","Adakah anda pasti bahawa anda mahu mengeluarkan invois ini?"
"Are you sure you want to buy this accessory?","Adakah anda pasti bahawa anda mahu membeli aksesori ini ?"
"Area","Kawasan"
"Avatar Accessories","Aksesori Avatar"
"Back","Kembali"
"> Back to Dashboard",">Kembali ke Papan Pemuka"
"Badge","Lencana"
"Bank Account Number","Nombor Akaun Bank"
"Bank Address","Alamat Bank"
"Bank Code","Kod Bank"
"Bank Name","Nama Bank"
"Begin","Mula"
"Bill to","Bil kepada"
"BILLING INVOICE","INVOIS PENGEBILAN"
"Birthday","Hari Lahir"
"BUY","BELI"
"Buy Accessory","Beli Aksesori"
"By","Oleh"
"Cancel","Batal"
"CANCEL","BATAL"
"Cancel Subscription","Batalkan Langganan"
"Cancelled","Dibatalkan"
"Cash Points","Mata Tunai"
"Change","Ubah"
"Change Password","Tukar Kata Laluan"
"Change Rating","Tukar Penilaian"
"Change Avatar","Tukar Avatar"
"Change Student Email","Tukar Email Pelajar, "
"Choose Image...","Pilih Imej…"
"City","Bandar"
"Class","Kelas"
"Class Dashboard","Papan Pemuka Kelas"
"Class Handled","Kelas yang Dikendalikan"
"Class Level","Tahap Kelas"
"Class List","Senarai Kelas"
"Class Management","Pengurusan Kelas"
"Class Name","Nama Kelas"
"Class Progress Report","Laporan Kemajuan Kelas"
"Clear","Kosongkan"
"Click","Klik"
"Click here to Login","Klik sini untuk Log Masuk"
"Click on Confirm Email Address","Klik pada Sahkan Alamat E-mel"
"Client","Pelanggan"
"client site","laman web pelanggan"
"Close","Tutup"
"Close This Request","Tutup Permintaan ini"
"Close Request","Tutup Permintaan"
"Code","Kod"
"Completed","Selesai"
"Confirm","Sahkan"
"Confirmation Code","Kod Pengesahan"
"Confirm Email Address","Sahkan Alamat E-mel"
