"DO NOT EDIT",,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
"//Field error codes",,
1001,"Required field not found.","O campo necessário não foi encontrado."
1002,"Required field empty.","O campo necessário encontra-se vazio."
1003,"The :attribute is required.","O :attribute é necessário."
1004,"The :attribute is invalid.","O :attribute é inválido."
1005,"Points to :attribute must be a number.","Pontos para :attribute devem ser um número."
1006,"The :attribute text is required.","O texto do :attribute é necessário."
1007,"The :attribute already exists.","O :attribute já existe."
1008,"The :attribute format is invalid.","O formato do :attribute é inválido."
1009,"The :attribute may not be greater than 10 characters.","O :attribute não pode exceder 10 caracteres."
1010,"The :attribute format is incorrect.","O formato do :attribute está incorreto."
1011,"The :attribute should not exceed 20 digits.","O :attribute não deve exceder 20 dígitos."
1012,"The :attribute name is required.","O :nome do atributo é necessário."
1013,"The :attribute must be a number","O :attribute deve ser um número"
1014,"The :attribute does not exist.","O :attribute não existe."
1015,"Total :attribute is required","O total de :attribute é necessário"
1016,"Total :attribute must be a number","O total de :attribute deve ser um número"
"//Rules messages",,
2001,"User does not exist.","O utilizador não existe."
2002,"Email does not exist.","O e-mail não existe."
2003,"Account does not exist.","A conta não existe."
"//for student error message",,
2004,"Username and picture password is incorrect.","A senha de utilizador e foto está incorreta."
2005,"Country does not exist.","O país não existe."
2006,"Confirmation code does not match.","O código de confirmação não coincide."
2007,"Confirmation code has expired.","O código de confirmação expirou."
2008,"The Username or Email you entered is invalid. Please try inputting again. If the account you are attempting to login is for a student less than 14 yrs old, please login via the parent site.","O nome de utilizador ou e-mail inserido é inválido. Por favor, tente introduzir novamente. Se a conta que está tentando aceder é para um aluno com menos de 14 anos de idade, por favor aceder através do site dos pais."
2009,"Avatar does not exist.","O Avatar não existe."
2010,"Parent does not exist.","O Pai não existe."
2011,"Username and password is incorrect.","A senha da foto está incorreta."
2012,"Picture password is incorrect.","A senha da foto está errada."
