id,module_id,code,question_type,question_text,question_image_original,question_image,answer,question_order_text,question_graph_content,seq_no,difficulty,points_earned,translatable,status,created_by,updated_by,created_by,updated_by,deleted_by
20995,284,20995,FIB,"Write imperative if the sentence is imperative and write exclamatory, if the sentence is exclamatory.<br/>  <br/> Please put your shoes on the shoe rack.",,,Imperative,,,16,2,1,,Enabled,,,,,
20996,284,20996,FIB,"Write imperative if the sentence is imperative and write exclamatory, if the sentence is exclamatory.<br/> <br/> Wow, what an incredible performance!.",,,Exclamatory,,,16,3,1,,Enabled,,,,,
20997,284,20997,FIB,"Write imperative if the sentence is imperative and write exclamatory, if the sentence is exclamatory.<br/> <br/> Can you fetch the water by the riverside?",,,Imperative,,,17,3,1,,Enabled,,,,,
20998,284,20998,FIB,"Write imperative if the sentence is imperative and write exclamatory, if the sentence is exclamatory.<br/> <br/> Please clean up this mess, afterwards go to the principal's office.",,,Imperative,,,18,3,1,,Enabled,,,,,
20999,284,20999,FIB,"Write imperative if the sentence is imperative and write exclamatory, if the sentence is exclamatory.<br/> <br/> What, Jack is going to quit the soccer team!",,,Exclamatory,,,19,3,1,,Enabled,,,,,
21000,284,21000,FIB,"Write imperative if the sentence is imperative and write exclamatory, if the sentence is exclamatory.<br/> <br/> Incredible, this is the most amazing song I have ever heard!",,,Exclamatory,,,20,3,1,,Enabled,,,,,
21001,284,21001,FIB,"Write imperative if the sentence is imperative and write exclamatory, if the sentence is exclamatory.<br/> <br/> Ha, I knew I could do it!",,,Exclamatory,,,17,2,1,,Enabled,,,,,
21002,284,21002,MC,"Choose the best answer in the sentence.<br/> <br/> Jack, ___ run fast,",,,,,,18,2,1,,Enabled,,,,,
21003,284,21003,MC,"Choose the best answer in the sentence.<br/> <br/> ___, That is incredible!",,,,,,19,2,1,,Enabled,,,,,
21004,284,21004,MC,Choose the best answer in the sentence.<br/> <br/> Can you ___ keep your surrounding clean?,,,,,,20,2,1,,Enabled,,,,,
21005,284,21005,MC,Choose the best answer in the sentence.<br/> <br/> Kindly pass the water.,,,,,,17,1,1,,Enabled,,,,,
21006,284,21006,MC,"Choose the best answer in the sentence.<br/> <br/> Andrew, please help wash the dishes.",,,,,,18,1,1,,Enabled,,,,,
21007,284,21007,MC,"Choose the best answer in the sentence.<br/> <br/> Help, there is a fire over there!",,,,,,19,1,1,,Enabled,,,,,
21008,284,21008,MC,Choose the best answer in the sentence.<br/> <br/> Waa! Somebody help me!,,,,,,20,1,1,,Enabled,,,,,
21009,285,21009,FIB,"Identify then write the subject and predicate of the sentence.<br/><br/>
<u> John was running </u>  around.<br/>Subject________. <br/> Predicate_________",,,"John,was running",,,8,3,1,,Enabled,,,,,
21010,285,21010,FiB,"Identify then write the subject and predicate of the sentence.<br/><br/>
<u> I am cleaning </u>  the house everyday.  <br/>Subject________. <br/> Predicate_________",,,"I,am cleaning",,,9,3,1,,Enabled,,,,,
21011,285,21011,FiB,Identify then write the subject and predicate of the sentence.<br/><br/><u> Rick and I are playing </u> baseball.<br/>Subject________. <br/> Predicate_________  ,,,"Rick and I,are playing",,,10,3,1,,Enabled,,,,,
21012,285,21012,FiB,"Identify then write the subject and predicate of the sentence.<br/><br/><u> Steve, Blake and Martha  went </u> to the mall.  <br/>Subject________. <br/> Predicate_________",,,"Steve,Blake and Martha,went",,,11,3,1,,Enabled,,,,,
21013,285,21013,FiB,Identify then write the subject and predicate of the sentence.<br/><br/><u> They will be arriving </u> tomorrow. <br/>Subject________. <br/> Predicate_________ ,,,"They,will be arriving",,,12,3,1,,Enabled,,,,,
21014,285,21014,FiB,Identify then write the subject and predicate of the sentence.<br/><br/><u> She is writing </u>  a poem.  <br/>Subject________. <br/> Predicate________,,,"She,is writing",,,13,3,1,,Enabled,,,,,
21015,285,21015,FIB,Identify then write the subject and predicate of the sentence.<br/><br/> <u> John  is singing and dancing </u> for the talent show. <br/>Subject________. <br/> Predicate_________ ,,,"John,is singing and dancing",,,14,3,1,,Enabled,,,,,
21016,285,21016,FIB,Identify then write the subject and predicate of the sentence.<br/><br/><u> Mike is </u> an artist. <br/>Subject________. <br/> Predicate_________ ,,,"Mike,is",,,15,3,1,,Enabled,,,,,
21017,285,21017,FIB,Identify then write the subject and predicate of the sentence.<br/><br/><u> He is trying </u> to win the contest. <br/>Subject________. <br/> Predicate_________ ,,,"He,is trying",,,16,3,1,,Enabled,,,,,
21018,285,21018,FIB,Identify then write the subject and predicate of the sentence.<br/><br/><u> Luke and John are running and jumping </u>  in the field.  <br/>Subject________. <br/> Predicate_________,,,"Luke and John,are running and jumping",,,17,3,1,,Enabled,,,,,
21019,285,21019,FIB,"identify the subject and predicate. If there is no subject or predicate, write NS and NP. <br/> <br/> <u> Runs around at night. </u>",,,NS,,,18,3,1,,Enabled,,,,,
21020,285,21020,FIB,"Identify the subject and predicate. If there is no subject or predicate, write NS (no subject) and NP (no predicate). <br/> <br/>  <u> Jack and Martha </u>",,,NP,,,19,3,1,,Enabled,,,,,
21021,285,21021,FIB,"identify the subject and predicate. If there is no subject or predicate, write NS and NP. <br/> <br/>  <u> Mindy's favorite food </u>",,,NP,,,20,3,1,,Enabled,,,,,
21022,285,21022,FIB,"Identify the subject and predicate. If there is no subject or predicate, write NS and NP. <br/> <br/> <u> Jack will you take </u> out the trash?  <br/>Subject________. <br/> Predicate_________",,,"Jack,will you take out",,,8,2,1,,Enabled,,,,,
21023,285,21023,FIB,"Identify the subject and predicate. If there is no subject or predicate, write NS and NP. <br/><br/><u> Threw a rock  </u>",,,NS,,,9,2,1,,Enabled,,,,,
21024,285,21024,FIB,"Identify the subject and predicate. If there is no subject or predicate, write NS and NP.  <br/> <br/> <u> Waters the plants  </u>",,,NS,,,10,2,1,,Enabled,,,,,
21025,285,21025,FIB,"Identify the subject and predicate. If there is no subject or predicate, write NS and NP.  <br/> <br/>  <u> The ants are lifting </u> those pebbles.",,,"The ants,are lifting ",,,11,2,1,,Enabled,,,,,
21026,285,21026,FIB,"Identify the subject and predicate. If there is no subject or predicate, write NS and NP. <br/><br/><u>Tigers and cats <u/>",,,NP,,,12,2,1,,Enabled,,,,,
21027,285,21027,FIB,"identify the subject and predicate. If there is no subject or predicate, write NS and NP. <br/> <br/> <u> Japan has a very humid weather today.  </u>",,,"Japan,has a very humid weather today.",,,13,2,1,,Enabled,,,,,
