,"ES"
"SPANISH",
"TEXT TO TRANSLATE","ES TRANSLATION"
"Accept","Aceptar"
"Accepted","Aceptado"
"Account Status","Estado de la cuenta"
"Action|Actions","Acción/Acciones"
"Add","Añadir"
"Add Classroom","Añadir Clase"
"Add Student","Añadir Estudiante"
"Add More","Añadir Más"
"Add Help","Añadir Ayuda"
"Add Tips","Añadir Consejos"
"Add Payment","Añadir Forma de Pago"
"Address Information","Dirección"
"Admin","Administrador"
"Client Management","Gestión de Clientes"
"An email to reset your picture password has been sent to your email account.","Se ha enviado un email para que cambies tu contraseña de Imagen a tu cuenta de correo."
"A new email to reset your picture password has been sent to your email account.","Se ha enviado un email nuevo para que cambies tu contraseña de Imagen a tu cuenta de correo."
"Answer List","Lista de Respuestas"
"Age","Edad"
"All","Todos"
"All Rights Reserved.","Todos los Derechos Reservados"
"and","Y"
"Announcement","Anuncio"
"Answer","Responder"
"Answered by","Respondido por"
"Approve","Aprobar"
"Are you sure you want to remove this student?","¿Estás seguro de que quieres eliminar a este estudiante?"
"Are you sure you want to remove this invoice?","¿Estás seguro de que quieres eliminar esta factura?"
"Are you sure you want to buy this accessory?","¿Estás seguro de que quieres comprar este accesorio?"
"Area","Área"
"Avatar Accessories","Accesorios para el Avatar"
"Back","Volver"
"> Back to Dashboard","Volver al Interfaz"
"Badge","Insignia"
"Bank Account Number","Número de Cuenta Bancaria"
"Bank Address","Dirección del Banco"
"Bank Code","Código Bancario"
"Bank Name","Nombre del Banco"
"Begin","Comenzar"
"Bill to","Facturar a"
"BILLING INVOICE","FACTURA"
"Birthday","Fecha de nacimiento"
"BUY","COMPRAR"
"Buy Accessory","Comprar Accesorio"
"By","Por"
"Cancel","Cancelar"
"CANCEL","CANCELAR"
"Cancel Subscription","Cancelar Suscripción"
"Cancelled","Cancelado"
"Cash Points","Canjea tus Puntos"
"Change","Cambiar"
"Change Password","Cambiar Contraseña"
"Change Rating","Cambiar Puntuación"
"Change Avatar","Cambiar Avatar"
"Change Student Email","Cambiar Email del Estudiante"
"Choose Image...","Elegir Imagen..."
"City","Ciudad"
"Class","Clase"
"Class Dashboard","Interfaz de la Clase"
"Class Handled","Clase asignada"
"Class Level","Nivel de la Clase"
"Class List","Lista de la Clase"
"Class Management","Gestión de la Clase"
"Class Name","Nombre de la Clase"
"Class Progress Report","Informe de Progreso de la Clase"
"Clear","Borrar"
"Click","Haz Click"
"Click here to Login","Haz Click Aquí para Iniciar Sesión"
"Click on Confirm Email Address","Haz Click Aquí para Confirmar tu Email"
"Client","Cliente"
"client site","Sitio del Cliente"
"Close","Cerrar"
"Close This Request","Cerrar esta Solicitud"
"Close Request","Cerrar Solicitud"
"Code","Código"
"Completed","Completado"
"Confirm","Confirmar"
"Confirmation Code","Código de Confirmación"
"Confirm Email Address","Confirmar Dirección de Email"
"To confirm your new Email Address, follow these steps:","Para Confirmar tu Dirección de Email Nueva, Sigue Estos Pasos:"
"Confirm Your Email Address","Confirma tu Dirección de Email"
"Confirm Invitation","Confirmar Invitación"
"Confirm New Password","Confirmar Contraseña Nueva"
"Confirm Password","Confirmar Contraseña"
"Confirm Registration","Confirmar Registro"
"Contact Person","Persona de Contacto"
"Contact Number","Teléfono de Contacto"
"Content","Contenido"
"Content Not Available","Contenido no Disponible"
"Country","País"
"Correct!","¡Correcto!"
"Created By","Creado Por"
"Credentials Information","Credenciales"
"Current","Actual"
"Current Email Address","Dirección de Email Actual"
"Current Learning","Aprendiendo Ahora"
"Current Password","Contraseña Actual"
"Data Privacy Policy","Política de Privacidad de Datos"
"Date","Fecha"
"Date Added","Agregado en Fecha"
"Date Created","Fecha de Creación"
"Date End","Fecha de Fin"
"Date of Last Answer","Fecha de Última Respuesta"
"Date Removed","Fecha de Eliminación"
"Date Start","Fecha de Comienzo"
"Date Started","Fecha de Inicio"
"Delete","Borrar"
"Delete Subscription","Borrar Suscripción"
"Delete Student","Borrar Estudiante"
"Delete This Request","Borrar esta Solicitud"
"Delete Request","Borrar Solicitud"
"Description","Descripción"
"Detail","Detalles"
"Difficulty","Dificultad"
"Direct Credit to","Crédito Directo para"
"Disabled","Deshabilitado"
"Discount","Descuento"
"Displayed At","Mostrado en"
"Download Template","Descagar plantilla"
"Drag the items to reorder.","Arrastra los objetos para re-ordenarlos."
"Edit","Editar"
"Edit Client Account Profile","Editar Perfil de la Cuenta del Cliente"
"Edit Profile","Editar Perfil"
"Edit Status","Editar Estado"
"Edit Student","Editar Estudiante"
"Electronic Invoice","Factura Electrónica"
"Email","Email"
"Email Address","Dirección de Email"
"Email address is available.","Dirección de Email Disponible."
"Email or Username","Email o Nombre de Usuario"
"Enter Confirmation Code:","Introduzca Código de Confirmación:"
"Enabled","Habilitado"
"Enter Password","Introduzca Contraseña"
"Enter your Password","Introduzca su Contraseña"
"Enter Your Username or Email","Introduzca Su Nombre de Usuario o Email"
"Existing Student","Estudiante Existente"
"Exit Module","Salir del Módulo"
"Export","Exportar"
"Excelling","Sobresaliente"
"Failed Payment","Pago Fallido"
"You have failed to complete the payment process.","El proceso de pago no ha sido completado con éxito."
"Female","Mujer"
"First Name","Nombre "
"for Student Site","para Página de Estudiante"
"For Students 13 years old and below","Para Estudiantes de 13 años o Más"
"for Parent / Teacher / School Site","Para Página de Padres/Profesores/Escuela"
"Please check your inbox or your spam folder for the email.<br/>The email contains a confirmation code that you need to input below.","Por favor comprueba tu Bandeja de Entrada o Carpeta de Spam para ver si te ha llegado el Email. El correo contiene un código de confirmación que necesitas introducir a continuación."
"An email to reset your password has been sent to your email account.","Se ha enviado un email a tu dirección de correo para que crees una contraseña nueva."
"Home","Inicio"
"A new reset code has been sent to your email account.","Un nuevo código ha sido enviado a tu cuenta de correo."
"Please enter the reset code to create your new password.","Por favor incluye el código para crear una contraseña nueva."
"Send","Enviar"
"Forgot your password?","¿Has olvidado tu contraseña?"
"Forgot your picture password?","¿Has olvidado tu contraseña de imagen?"
"From your Classmates","De tus Compañeros de Clase"
"From You","Tuyo"
"FutureEd Online Education Platform","Plataforma de Educación Online de FutureED"
"Gender","Género"
"General","General"
"General Tips","Consejos Generales"
"General Help Requests","Solicitudes de Ayuda Generales"
"Give Tips","Da Consejos"
"Grade|Grades","Nota|Notas"
"Grade Code","Código de Grados"
"Go to link","Ir al link"
"Go to My Profile","Ir a Mi Perfil"
"Help Request|Help Requests","Solicitud de Ayuda|Solicitudes de Ayuda"
"Help Request Details","Detalles de la Solicitud de Ayuda"
"Help Request Answers","Respuestas a la Solicitud de Ayuda"
"Help Request Answer Details","Detalles de las respuestas a la Solicitud de Ayuda"
"here","aquí"
"Hi","Hola"
"Hi there","Hola"
"Highest Score","Puntuación Más Alta"
"I agree on the","Estoy de acuerdo con"
"Image","Imagen"
"Image Uploaded...","Imagen Cargada..."
"Import","Importar"
"Inactive","Inactivo"
"Indicates a required field.","Indica un campo requerido."
"Instructions","Instrucciones"
"IP Address","Dirección IP"
"Keys","Comandos"
"Launch","Iniciar"
"Last Name","Apellidos"
"Later","Después"
"Learning Style","Estilo de Aprendizaje"
"Learning Style Quiz","Cuestionario de Estilo de Aprendizaje"
"Let\s get started","Empecemos"
"Loading...","Cargando..."
"Locked","Bloqueado"
"Login","Iniciar Sesión"
"Login Credentials","Datos de Acceso"
"Forgot your password?","¿Has olvidado tu contraseña?"
"Login to your account","Iniciar Sesión en tu cuenta"
"Logout","Cerrar sesión"
"You have been logged out due to inactivity. Please login again.","Tu sesión se ha cerrado ya que has estado inactivo. Por favor, inicia sesión de nuevo."
"Logs","Registros"
"Lowest Score","Puntuación Más Baja"
"Male","Hombre"
"Medals","Medallas"
"Module|Modules","Módulo| Módulos"
"Module Status","Estado del Módulo"
"My Account","Mi Cuenta"
"My Profile","Mi Perfil"
"My Reports","Mis Informes"
"My Help Requests","Mis Solicitudes de Ayuda"
"Name","Nombre"
"New","Nuevo"
"New Email Address","Dirección de Correo Nueva"
"New Password","Contraseña Nueva"
"New Student","Estudiante Nuevo"
"Next","Siguiente"
"No","No"
"No Available Link","Link No Disponible"
"No Answers for Now","Por Ahora no Hay Respuestas Disponibles"
"No Available Points","No Hay Puntos"
"No Available Badges","No Hay Insignias Disponibles"
"No Medals Available","No Hay Medallas Disponibles"
"No available questions for this module.</br>Please contact the system administrator.","No hay preguntas disponibles para este módulo. Por favor ponte en contacto con el administrador del sistema."
"No Modules Found.","No se Han Encontrado Módulos"
"No Content Available","No Hay Contenido Disponible"
"No Questions Available","No Hay Preguntas Disponibles"
"No records found","No se Han Encontrado Archivos"
"No Results...","No Hay Resultados"
"Number of Seats","Número de Asientos"
"No. of seats Enrolled","Número de Asientos Inscritos"
"No. of Seats Taken","Número de Asientos Ocupados"
"No signature required.","Número de firmas necesarias."
"No Tips for now...","No Hay Consejos por Ahora..."
"No Tips Found","No se Han Encontrado Consejos"
"No Help Requests for now...","No Hay Solicitues de Ayuda por Ahora..."
"No Help Request Found","No se han Encontrado Solicitudes de Ayuda"
