"DO NOT EDIT",,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
"//Field error codes",,
1001,"Required field not found.","Campo requerido no encontrado."
1002,"Required field empty.","Campo requerido vacio."
1003,"The :attribute is required.","El :attribute es necesario."
1004,"The :attribute is invalid.","El :attribute no es válido."
1005,"Points to :attribute must be a number.","Puntos a :attribute deben ser números."
1006,"The :attribute text is required.","El :attribute texto es necesario."
1007,"The :attribute already exists.","El :attribute ya existe."
1008,"The :attribute format is invalid.","El :attribute formato no es válido."
1009,"The :attribute may not be greater than 10 characters.","El :attribute no puede ser más largo de 10 caracteres."
1010,"The :attribute format is incorrect.","El :attribute formato es incorrecto."
1011,"The :attribute should not exceed 20 digits.","El :attribute no puede sobrepasar los 20 dígitos."
1012,"The :attribute name is required.","El :attribute nombre es necesario."
1013,"The :attribute must be a number","El :attribute debe ser un número."
1014,"The :attribute does not exist.","El :attribute no existe."
1015,"Total :attribute is required","Total :attribute es necesario."
1016,"Total :attribute must be a number","Total :attribute debe ser un número."
"//Rules messages",,
2001,"User does not exist.","Usuario no existe."
2002,"Email does not exist.","Email no existe."
2003,"Account does not exist.","Cuenta no existe."
"//for student error message",,
2004,"Username and picture password is incorrect.","El nombre de usuario y contraseña de imagen no son correctos."
2005,"Country does not exist.","País no existe."
2006,"Confirmation code does not match.","Código de confirmación no coincide."
2007,"Confirmation code has expired.","Código de confirmación ha caducado."
2008,"The Username or Email you entered is invalid. Please try inputting again. If the account you are attempting to login is for a student less than 14 yrs old, please login via the parent site.","El nombre de usuario o email que ha introducido no es válido. Por favor intentelo de nuevo. Si la cuenta a la que está intentando acceder es de un estudiante menor de 14 años, por favor inicie sesión desde la página para progenitores."
2009,"Avatar does not exist.","Avatar no existe."
2010,"Parent does not exist.","Progenitor no existe."
2011,"Username and password is incorrect.","El nombre de usuario y contraseña no son correctos."
2012,"Picture password is incorrect.","Contraseña de imagen no es correcta."
2013,"Username or Email is invalid.","Nombre de usuario o email inválido."
2014,"Your Account has been locked. Please go to the forgot password screen to reset your password.","Tu cuenta ha sido bloqueada. Por favor, reestablece tu contraseña en la sección ""Olvide mi contraseña""."
2015,"Confirmation code is required.","Código de confirmación necesario."
