,Country,1-BASIC,,,2-Premium,3-Trial
,,1 -30 days,2 -90 days,3-365 days,3 -365 days,1 -30 days
3-English Vocabulary,840 -EN,5 USD,10 USD,15 USD,25 USD,0 USD
2-English Grammar,EN,5 USD,10 USD,15 USD,25 USD,0 USD
1-Math,EN,5 USD,10 USD,15 USD,25 USD,0 USD
English Vocabulary,702-SG,7 USD,14 USD,21 USD,35 USD,0 USD
English Grammar,SG,7 USD,14 USD,21 USD,35 USD,0 USD
Math,SG,7 USD,14 USD,21 USD,35 USD,0 USD
English Vocabulary,608-PH,2 USD,4 USD,6 USD,10 USD,0 USD
English Grammar,PH,2 USD,4 USD,6 USD,10 USD,0 USD
Math,PH,2 USD,4 USD,6 USD,10 USD,0 USD
,,,,,,
id,subject_id,days_id,subscription_id,country_id,price,status
1,3,1,1,840,5,Enabled
2,3,2,1,840,10,Enabled
3,3,3,1,840,15,Enabled
4,3,3,2,840,25,Enabled
5,3,1,3,840,0,Enabled
6,2,1,1,840,5,Enabled
7,2,2,1,840,10,Enabled
8,2,3,1,840,15,Enabled
9,2,3,2,840,25,Enabled
10,2,1,3,840,0,Enabled
11,1,1,1,840,5,Enabled
12,1,2,1,840,10,Enabled
13,1,3,1,840,15,Enabled
14,1,3,2,840,25,Enabled
15,1,1,3,840,0,Enabled
16,3,1,1,702,7,Enabled
17,3,2,1,702,14,Enabled
18,3,3,1,702,21,Enabled
19,3,3,2,702,35,Enabled
20,3,1,3,702,0,Enabled
21,2,1,1,702,7,Enabled
22,2,2,1,702,14,Enabled
23,2,3,1,702,21,Enabled
24,2,3,2,702,35,Enabled
25,2,1,3,702,0,Enabled
26,1,1,1,702,7,Enabled
27,1,2,1,702,14,Enabled
28,1,3,1,702,21,Enabled
29,1,3,2,702,35,Enabled
30,1,1,3,702,0,Enabled
31,3,1,1,608,2,Enabled
32,3,2,1,608,4,Enabled
33,3,3,1,608,6,Enabled
34,3,3,2,608,10,Enabled
35,3,1,3,608,0,Enabled
36,2,1,1,608,2,Enabled
37,2,2,1,608,4,Enabled
38,2,3,1,608,6,Enabled
39,2,3,2,608,10,Enabled
40,2,1,3,608,0,Enabled
41,1,1,1,608,2,Enabled
42,1,2,1,608,4,Enabled
43,1,3,1,608,6,Enabled
44,1,3,2,608,10,Enabled
45,1,1,3,608,0,Enabled
