"DO NOT EDIT","Thai"
"TEXT TO TRANSLATE",
"Accept","ยอมรับ"
"Accepted","ได้รับการยอมรับ"
"Account Status","สถานะบัญชี"
"Action|Actions","การกระทำ"
"Add","เพิ่ม"
"Add Classroom","เพิ่มห้องเรียน"
"Add Student","เพิ่มผู้เรียน"
"Add More","เพิ่มเพิ่มเติม"
"Add Help","เพิ่มความช่วยเหลือ"
"Add Tips","เพิ่มข้อแนะนำ"
"Add Payment","เพิ่มการชำระเงิน"
"Address Information","ข้อมูลที่อยู่"
"Admin","ผู้ดูแลระบบ"
"Client Management","การจัดการผู้รับบริการ"
"An email to reset your picture password has been sent to your email account.","รหัสภาพสำหรับการตั้งรหัสผ่านใหม่ได้ถูกส่งไปยังอีเมล์ของคุณ"
"A new email to reset your picture password has been sent to your email account.","รหัสภาพสำหรับการเปลี่ยนอีเมล์ใหม่ได้ถูกส่งไปยังอีเมล์ของคุณ"
"Answer List","รายการคำตอบ"
"Age","อายุ"
"All","ทั้งหมด"
"All Rights Reserved.","สงวนลิขสิทธิ์"
"and","และ"
"Announcement","ประกาศ"
"Answer","คำตอบ"
"Answered by","ตอบโดย"
"Approve","อนุมัติ"
"Are you sure you want to remove this student?","คุณแน่ใจหรือไม่ว่าต้องการลบผู้เรียนรายนี้?"
"Are you sure you want to remove this invoice?","คุณแน่ใจหรือไม่ว่าคุณต้องการลบใบแจ้งหนี้นี้?"
"Are you sure you want to buy this accessory?","คุณแน่ใจหรือไม่ว่าคุณต้องการซื้ออุปกรณ์นี้?"
"Area","พื้นที่"
"Avatar Accessories","อุปกรณ์เสริมรูปประจำตัว"
"Back","กลับ"
"> Back to Dashboard","กลับไปหน้ากระดานหลัก"
"Badge","ตรา"
"Bank Account Number","หมายเลขบัญชีธนาคาร"
"Bank Address","บัญชีธนาคาร"
"Bank Code","รหัสธนาคาร"
"Bank Name","ชื่อธนาคาร"
"Begin","เริ่ม"
"Bill to","ส่งเบิกไปที่"
"BILLING INVOICE","ใบแจ้งหนี้เรียกเก็บเงิน"
"Birthday","วันเกิด"
"BUY","ซื้อ"
"Buy Accessory","ซื้ออุปกรณ์เสริม"
"By","โดย"
"Cancel","ยกเลิก"
"CANCEL","ยกเลิก"
"Cancel Subscription","ยกเลิกการสมัคร"
"Cancelled","ยกเลิก"
"Cash Points","คะแนนเงินสด"
"Change","เปลี่ยนแปลง"
"Change Password","เปลี่ยนรหัสผ่าน"
"Change Rating","เปลี่ยนการให้คะแนน"
"Change Avatar","เปลี่ยนรูปประจำตัว"
"Change Student Email","เปลี่ยนอีเมล์ผู้เรียน"
"Choose Image...","เลือกภาพ"
"City","เมือง"
"Class","ห้องเรียน"
"Class Dashboard","หน้ากระดานหลักห้องเรียน"
"Class Handled","ห้องเรียนที่ดูแล"
"Class Level","ระดับของห้องเรียน"
"Class List","รายการห้องเรียน"
"Class Management","การจัดการห้องเรียน"
"Class Name","ชื่อห้องเรียน"
"Class Progress Report","รายงานความคืบหน้าของห้องเรียน"
"Clear","ลบทั้งหมด"
"Click","คลิก"
"Click here to Login","คลิกที่นี่เพื่อเข้าสู่ระบบ"
"Click on Confirm Email Address","คลิกที่นี่เพื่อยืนยันที่อยู่อีเมล์"
"Client","ผู้รับบริการ"
"client site","เว็บไซต์ของผู้รับบริการ"
"Close","ปิด"
"Close This Request","ปิดคำขอนี้"
"Close Request","ปิดคำขอ"
"Code","รหัส"
"Completed","ดำเนินการสมบูรณ์"
"Confirm","ยืนยัน"
"Confirmation Code","รหัสยืนยัน"
"Confirm Email Address","ยืนยันที่อยู่อีเมล์"
