"DO NOT EDIT","Vietnamese"
"TEXT TO TRANSLATE",
"Accept","Chấp nhận"
"Accepted","Đã chấp nhận"
"Account Status","Trạng thái tài khoản"
"Action|Actions","Hoạt động | Các hoạt động"
"Add","Thêm vào"
"Add Classroom","Thêm lớp học"
"Add Student","Thêm học viên"
"Add More","Bổ sung thêm"
"Add Help","Thêm Trợ giúp"
"Add Tips","Thêm Lời khuyên"
"Add Payment","Thêm Thanh toán"
"Address Information","Thông tin địa chỉ"
"Admin","Quản trị viên"
"Client Management","Quản lý khách hàng"
"An email to reset your picture password has been sent to your email account.","Một email để đặt lại mật khẩu hình ảnh của bạn đã được gửi đến tài khoản email của bạn."
"A new email to reset your picture password has been sent to your email account.","Một email mới để thiết lập lại mật khẩu hình ảnh của bạn đã được gửi đến tài khoản email của bạn."
"Answer List","Danh sách câu trả lời"
"Age","Lứa tuổi"
"All","Toàn bộ"
"All Rights Reserved.","Bản quyền được bảo hộ"
"and","và"
"Announcement","Thông báo"
"Answer","Câu trả lời"
"Answered by","Giải đáp bởi"
"Approve","Phê duyệt"
"Are you sure you want to remove this student?","Bạn có chắc chắn muốn loại bỏ học viên này?"
"Are you sure you want to remove this invoice?","Bạn có chắc chắn muốn loại bỏ hóa đơn này?"
"Are you sure you want to buy this accessory?","Bạn có chắc chắn muốn mua phụ kiện này ?"
"Area","Khu vực"
"Avatar Accessories","Phụ kiện ảnh đại diện"
"Back","Trở lại"
"> Back to Dashboard","Quay lại Bảng điều khiển"
"Badge","Huy hiệu"
"Bank Account Number","Số tài khoản ngân hàng"
"Bank Address","Địa chỉ ngân hàng"
"Bank Code","Mã ngân hàng"
"Bank Name","Tên ngân hàng"
"Begin","Bắt đầu"
"Bill to","Hóa đơn"
"BILLING INVOICE","Soạn hóa đơn"
"Birthday","Sinh nhật"
"BUY","Mua"
"Buy Accessory","Mua Phụ kiện"
"By","Bởi"
"Cancel","hủy bỏ"
"CANCEL","hủy bỏ"
"Cancel Subscription","Hủy đăng ký"
"Cancelled","Đã hủy"
"Cash Points","Điểm quy ra tiền mặt"
"Change","Thay đổi"
